,Nombre tienda,Precio,Disponibilidad
https://www.ludonauta.es/juegos-mesas/scythe-el-auge-de-fenris-2018,"['Amazon', 'MasQueOca', '¿Jugamos una?', 'Juegos de la Mesa Redonda', '¿Jugamos Otra?', 'Arigatô Sevilla', 'Empire Games', 'Dungeon Marvels', 'Espacio de Juegos', 'DracoTienda', 'Planeton Games', 'Bandua Wargames', 'EGD Games', 'Mono de Juegos', 'Dungeon Marvels', 'Genex Comics', 'Cartoon Corp', 'Ocio Central', 'Turol Games', 'Amazon']","['43,20', '44,95', '46,71', '46,71', '46,74', '46,74', '49,45', '49,49', '49,50', '49,50', '49,50', '49,50', '49,50', '50,95', '50,95', '52,25', '54,95', '54,95', '54,99', '61,06']","['En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En pre-venta', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/wingspan-expansion-europea-2019,"['FDGames', '¿Jugamos una?', '¿Jugamos una?', 'Planeta Rebelde', 'Empire Games', 'Play Planet', 'Warmus Games', 'Espacio de Juegos', 'DracoTienda', 'Dungeon Marvels', 'EGD Games', 'MasQueOca', 'LudusBelli', 'Ludosaurus', 'Dungeon Marvels', 'Dragones y Losetas', 'Comic Stores', 'Generación X', 'Arigatô Sevilla', 'E-minis', 'Turol Games', 'Ocio Central', 'Estalia Córdoba', 'Estalia Córdoba', 'El Dado Negro', 'Turol Games', 'Amazon', 'Amazon']","['21,15', '21,21', '21,21', '21,95', '22,45', '22,45', '22,49', '22,50', '22,50', '22,50', '22,50', '22,50', '22,50', '22,50', '22,95', '23,00', '23,70', '23,75', '23,75', '23,75', '24,95', '24,95', '24,95', '24,95', '25,00', '25,00', '31,93', '33,05']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/terraforming-mars-2016,"['Rampi Games', 'MasQueOca', 'Empire Games', 'Juegos de la Mesa Redonda', 'Planeta Rebelde', '¿Jugamos una?', '¿Jugamos una?', 'Arigatô Sevilla', 'Tablerum', 'Santuario Games', 'Los Juegos de Sauron', 'Ludokubo', 'Customeeple', 'Play Planet', '¿Jugamos Otra?', 'Planeton Games', 'LudusBelli', 'EGD Games', 'Warmus Games', 'Dungeon Marvels', 'DracoTienda', 'Cuarto de Juegos', 'Ludosaurus', 'Mono de Juegos', 'Comic Stores', 'Generación X', 'E-minis', 'Juegakens', 'Genex Comics', 'Ocio Central', 'Cartoon Corp', 'Modgame', 'Turol Games', 'Amazon', 'Dungeon Marvels']","['44,69', '44,99', '46,70', '46,71', '46,71', '46,71', '46,71', '46,74', '46,75', '46,95', '48,50', '49,09', '49,09', '49,41', '49,45', '49,49', '49,50', '49,50', '49,50', '49,50', '49,50', '49,50', '49,50', '50,00', '52,20', '52,25', '52,25', '52,25', '52,25', '54,95', '55,00', '55,00', '55,00', '56,50', '75,95']","['En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición']"
https://www.ludonauta.es/juegos-mesas/wingspan-expansion-de-oceania-2020,"['Empire Games', 'Juegos de la Mesa Redonda', '¿Jugamos una?', '¿Jugamos una?', 'Planeta Rebelde', '3meeples', 'MasQueOca', 'Warmus Games', 'Padis', 'Ludosaurus', 'Arigatô Sevilla', 'EGD Games', 'Distrito Zero', 'LudusBelli', 'DracoTienda', 'Espacio de Juegos', 'Dungeon Marvels', 'Dungeon Marvels', 'Estalia Córdoba', 'Comic Stores', 'Generación X', 'Ocio Central', 'Mono de Juegos', 'Modgame', 'El Bazar de Iglesias', 'Turol Games', 'Amazon', 'Amazon']","['25,45', '25,46', '25,46', '25,46', '25,95', '26,96', '26,99', '26,99', '26,99', '27,00', '27,00', '27,00', '27,00', '27,00', '27,00', '27,00', '27,00', '27,95', '27,95', '28,45', '28,50', '29,95', '29,95', '30,00', '30,00', '30,00', '31,96', '36,32']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/spirit-island-branch-claw-2017,"['Espacio de Juegos', 'Dungeon Marvels', 'DracoTienda', 'El Dado Negro', 'Ocio Central']","['33,95', '36,50', '36,95', '39,95', '39,95']","['En stock', 'En reposición', 'En stock', 'En stock', 'En pre-venta']"
https://www.ludonauta.es/juegos-mesas/tuscany-edicion-esencial-2016,"['E-minis', '¿Jugamos Otra?', 'Dungeon Marvels', 'Bandua Wargames', 'LudusBelli', 'Quinto Elemento', 'Amazon', 'Comic Stores', 'Amazon']","['30,40', '31,46', '31,50', '31,50', '31,50', '31,50', '32,63', '33,20', '48,70']","['En stock', 'En stock', 'En reposición', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En reposición']"
https://www.ludonauta.es/juegos-mesas/gloomhaven-fauces-del-leon-2020,"['EGD Games', 'Dungeon Marvels', 'Rampi Games', 'FDGames', 'Distrito Zero', 'Amazon', 'Amazon', 'Santuario Games', 'Mathom', 'SomosJuegos', 'Play Planet', '¿Jugamos Otra?', 'Juegos de la Mesa Redonda', 'MasQueOca', 'DracoTienda', 'E-minis', 'Espacio de Juegos', 'Dungeon Marvels', 'EGD Games', 'Quinto Elemento', 'Planeta Rebelde', 'Comic Stores', 'Genex Comics', 'Ludokubo', 'Ludosaurus', 'FreakMondo', 'Avalon', 'Juegakens', 'Ocio Central', '3meeples', '¿Jugamos una?', 'Empire Games', 'El Bazar de Iglesias', 'Generación X', 'Planeton Games', 'Turol Games', 'Cuarto de Juegos', 'Crash Comics', 'Amazon']","['52,00', '52,95', '56,99', '58,90', '59,49', '59,50', '59,99', '60,99', '61,59', '61,60', '62,91', '62,95', '62,96', '62,99', '62,99', '62,99', '62,99', '62,99', '62,99', '63,00', '64,95', '66,45', '66,49', '69,32', '69,90', '69,95', '69,95', '69,95', '69,95', '69,95', '69,95', '69,95', '69,99', '69,99', '69,99', '69,99', '69,99', '69,99', '70,34']","['En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/las-ruinas-perdidas-de-arnak-lideres-de-la-expedicion-2021,"['EcoMimos', '¿Jugamos una?', 'Planeta Rebelde', 'Distrito Zero', 'Rampi Games', 'Santuario Games', 'Quinto Elemento', 'Ludosaurus', 'MasQueOca', 'SomosJuegos', '¿Jugamos Otra?', 'Juegos de la Mesa Redonda', '3meeples', 'LudusBelli', 'Mathom', 'EGD Games', 'DracoTienda', 'ZZgames', 'Dungeon Marvels', 'Tablerum', 'Planeton Games', 'Dungeon Marvels', 'Ludokubo', 'Juegakens', 'Comic Stores', 'Genex Comics', 'Generación X', 'Play Planet', 'Ocio Central', 'Padis', 'Doctor Panush', 'Turol Games', 'Mono de Juegos', 'El Bazar de Iglesias', 'Amazon', 'Arcadia Comics Online', 'Amazon']","['24,95', '25,46', '25,46', '25,50', '25,69', '25,90', '26,25', '26,91', '26,95', '26,95', '26,95', '26,96', '26,96', '26,99', '27,00', '27,00', '27,00', '27,00', '27,00', '27,00', '27,00', '27,95', '28,21', '28,45', '28,45', '28,50', '28,50', '29,90', '29,95', '29,99', '30,00', '30,00', '30,00', '30,00', '30,34', '31,50', '31,95']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/la-tripulacion-mision-mar-profundo-2021,"['Planeta Rebelde', 'Distrito Zero', 'Santuario Games', 'Customeeple', 'EcoMimos', '¿Jugamos Otra?', 'Player vs Player', 'Juegos de la Mesa Redonda', '¿Jugamos una?', 'Planeton Games', 'MasQueOca', 'Mathom', 'LudusBelli', 'DracoTienda', 'EGD Games', 'Dungeon Marvels', 'Espacio de Juegos', 'Play Planet', 'Akira Comics', 'Comic Stores', 'Arcadia Comics Online', 'Genex Comics', 'Generación X', 'El Dado Negro', 'Padis', 'Estalia Córdoba', 'El Bazar de Iglesias', 'Homelands', 'Crash Comics', 'Doctor Panush', 'Turol Games', 'Dragones y Losetas', 'Kubekings', 'Juegakens', 'Amazon', 'Amazon']","['12,44', '12,75', '12,95', '13,39', '13,40', '13,45', '13,45', '13,46', '13,46', '13,49', '13,49', '13,50', '13,50', '13,50', '13,50', '13,50', '13,95', '14,01', '14,20', '14,20', '14,25', '14,25', '14,25', '14,95', '14,99', '14,99', '15,00', '15,00', '15,00', '15,00', '15,00', '18,00', '18,76', '18,85', '19,29', '22,59']","['En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/7-wonders-duel-2015,"['Bandua Wargames', 'FDGames', 'Planeta Rebelde', 'Rampi Games', 'Dungeon Marvels', 'EcoMimos', 'Dragones y Losetas', '¿Jugamos Otra?', 'Tablerum', 'MasQueOca', 'Mi Juego Bonito', 'Juegos de la Mesa Redonda', 'Play Planet', 'LudusBelli', 'Mathom', 'Espacio de Juegos', 'DracoTienda', 'Arigatô Sevilla', 'EGD Games', 'Kubekings', 'Comic Stores', 'Genex Comics', 'Magia de Tinta', 'Ludokubo', 'El Gamusino', 'Estalia Córdoba', 'Juegakens', 'Player vs Player', 'Empire Games', 'Avalon', 'FreakMondo', ""N'Only Games"", 'Crash Comics', 'Turol Games', 'Doctor Panush', 'Kame Kame', 'Padis', 'Ludosaurus', 'Generación X', 'Toys “R” Us', 'El Bazar de Iglesias', 'Alcalá Comics', 'Planeton Games', 'Kinuma', 'Amazon', 'Amazon', 'Amazon']","['20,08', '22,45', '22,91', '22,94', '22,94', '23,95', '24,00', '24,25', '24,25', '24,25', '24,25', '24,26', '24,26', '24,29', '24,29', '24,29', '24,30', '24,30', '24,30', '24,99', '25,60', '25,64', '25,95', '26,77', '26,90', '26,95', '26,95', '26,95', '26,95', '26,95', '26,95', '26,99', '26,99', '26,99', '26,99', '26,99', '26,99', '26,99', '26,99', '26,99', '26,99', '27,00', '27,00', '27,45', '27,69', '27,79', '31,28']","['En pre-venta', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock']"
https://www.ludonauta.es/juegos-mesas/terraforming-mars-hellas-elysium-2017,"['Planeta Rebelde', '¿Jugamos una?', 'Tablerum', 'Ludokubo', 'Empire Games', 'MasQueOca', 'Dungeon Marvels', 'Juegos de la Mesa Redonda', 'DracoTienda', 'Distrito Zero', 'Warmus Games', 'Espacio de Juegos', '¿Jugamos Otra?', 'Rampi Games', 'Juegakens', 'Comic Stores', 'LudusBelli', 'Generación X', 'Play Planet', 'Padis', 'Cartoon Corp', 'Turol Games', 'Dragones y Losetas', '¿Jugamos una?', 'Mono de Juegos', 'EGD Games', 'DracoTienda', 'Amazon', 'Dungeon Marvels', 'Amazon']","['11,95', '12,71', '12,75', '13,39', '13,45', '13,45', '13,46', '13,46', '13,46', '13,46', '13,50', '13,50', '13,50', '13,99', '14,20', '14,20', '14,25', '14,25', '14,90', '14,95', '14,95', '14,95', '15,00', '15,26', '16,95', '17,95', '17,95', '18,58', '23,95', '27,03']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En reposición']"
https://www.ludonauta.es/juegos-mesas/twilight-imperium-4a-edicion-2017,"['FDGames', 'Tablerum', 'Los Juegos de Sauron', 'Mathom', 'Amazon', 'Play Planet', 'Bandua Wargames', 'Dungeon Marvels', 'Espacio de Juegos', 'MasQueOca', 'Padis', 'EGD Games', 'Quinto Elemento', 'DracoTienda', 'Kubekings', '¿Jugamos Otra?', 'Dungeon Marvels', 'Comic Stores', 'Genex Comics', 'Buy Meeples', 'Empire Games', 'Ocio Central', '¿Jugamos una?', 'Ágora Comic', 'Crash Comics', 'Turol Games', 'Kame Kame', 'Planeton Games', 'Alcalá Comics', 'Amazon', 'Amazon']","['123,70', '123,71', '138,50', '143,54', '145,20', '148,41', '148,43', '148,49', '148,49', '148,49', '148,49', '148,50', '148,50', '148,50', '148,99', '149,95', '149,95', '156,70', '156,75', '164,95', '164,95', '164,95', '164,95', '164,99', '164,99', '164,99', '164,99', '165,00', '165,00', '169,34', '170,89']","['En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En reposición', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/the-castles-of-burgundy-2019,"['Dragones y Losetas', 'Comic Stores', 'Juegakens', 'Quinto Elemento', 'DracoTienda', 'Customeeple', 'EGD Games', 'Empire Games', 'Shuriken64', 'Amazon', '¿Jugamos una?', 'Warmus Games', 'Magia de Tinta', 'Play Planet']","['38,00', '42,46', '43,65', '43,70', '43,95', '44,63', '44,95', '44,95', '44,95', '44,95', '44,96', '44,96', '47,50', '49,90']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/dominion-prosperidad-2010,"['Amazon', 'Dungeon Marvels', 'Amazon']","['38,55', '48,95', '72,69']","['En stock', 'En reposición', 'En stock']"
https://www.ludonauta.es/juegos-mesas/star-wars-rebellion-2016,"['Rampi Games', 'Distrito Zero', 'SomosJuegos', 'Amazon', 'Planeta Rebelde', 'Santuario Games', 'Amazon', 'Mathom', 'Bandua Wargames', 'Customeeple', 'Play Planet', 'Empire Games', 'Juegos de la Mesa Redonda', 'MasQueOca', 'DracoTienda', 'Espacio de Juegos', 'EGD Games', 'Dungeon Marvels', 'Comic Stores', 'Genex Comics', 'FreakMondo', '¿Jugamos Otra?', '¿Jugamos una?', 'Juegakens', '3meeples', 'Cuarto de Juegos', 'Generación X', 'Estalia Córdoba', 'El Bazar de Iglesias', 'Turol Games', 'Crash Comics', 'Dungeon Marvels', 'Amazon', 'Amazon']","['89,99', '93,49', '93,50', '94,90', '94,95', '95,99', '96,54', '96,79', '98,10', '98,18', '98,91', '98,95', '98,96', '98,99', '98,99', '98,99', '98,99', '98,99', '104,45', '104,49', '109,95', '109,95', '109,95', '109,95', '109,99', '109,99', '109,99', '109,99', '109,99', '109,99', '109,99', '114,95', '120,40', '123,00']","['En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En pre-venta', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En stock', 'En reposición', 'En stock', 'En stock']"
https://www.ludonauta.es/juegos-mesas/star-wars-rebellion-el-auge-del-imperio-2017,"['Amazon', 'Amazon', 'Dungeon Marvels']","['46,94', '53,27', '53,95']","['En stock', 'En stock', 'En reposición']"
